"contrast","confounding","modification","complexity","estimand","estimator","truth_mean","bias","rmse","coverage","emp_sd","mean_se","se_cal","n_converged","pass"
"C2",1,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.00425,0.01149,0.955,0.0107,0.01094,1.022,200,TRUE
"C2",2,0,"linear","ATE","TMLE (GLM nuisances)",0.0199,0.0015,0.02023,0.905,0.02022,0.01003,0.496,200,TRUE
"C2",2,0,"linear","ATT","DR one-step ATT",0.01999,0.01473,0.02024,0.725,0.01392,0.01199,0.862,200,FALSE
"C2",2,0,"linear","ATO","augmented overlap weights",0.01999,0.01025,0.01454,0.755,0.01034,0.00916,0.886,200,FALSE
"C2",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00788,0.01254,0.85,0.00977,0.00898,0.919,200,FALSE
"C2",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01999,0.01166,0.0175,0.79,0.01308,0.01165,0.891,200,FALSE
"C2",0,1,"linear","ATE","TMLE (GLM nuisances)",0.02001,0.00267,0.01097,0.95,0.01067,0.01078,1.01,200,TRUE
"C2",0,1,"linear","ATT","DR one-step ATT",0.03921,-0.00034,0.00916,0.935,0.00918,0.00882,0.961,200,TRUE
"C2",0,1,"linear","ATO","augmented overlap weights",0.03499,0.00081,0.00876,0.94,0.00874,0.00834,0.954,200,TRUE
"C2",0,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.03347,3e-05,0.0104,0.925,0.01043,0.00967,0.928,200,TRUE
"C2",0,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.03768,-0.00034,0.00976,0.955,0.00978,0.00976,0.998,200,TRUE
"C2",1,1,"linear","ATE","TMLE (GLM nuisances)",0.02097,0.00471,0.0096,0.96,0.00839,0.00841,1.003,200,TRUE
"C2",1,1,"linear","ATT","DR one-step ATT",0.03938,0.00552,0.01275,0.915,0.01152,0.01151,0.999,200,TRUE
"C2",1,1,"linear","ATO","augmented overlap weights",0.03507,0.00432,0.01018,0.92,0.00924,0.00947,1.026,200,TRUE
"C2",1,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.03348,0.00343,0.01032,0.93,0.00976,0.01002,1.027,200,TRUE
"C2",1,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.0378,0.00403,0.01183,0.95,0.01115,0.01165,1.045,200,TRUE
"C2",2,1,"linear","ATE","TMLE (GLM nuisances)",0.02152,0.00845,0.01376,0.875,0.01089,0.00804,0.738,200,FALSE
"C2",2,1,"linear","ATT","DR one-step ATT",0.03924,0.01396,0.02004,0.765,0.01441,0.01269,0.881,200,FALSE
"C2",2,1,"linear","ATO","augmented overlap weights",0.03513,0.01049,0.01496,0.78,0.01069,0.00969,0.906,200,FALSE
"C2",2,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.03348,0.00788,0.01281,0.86,0.01012,0.00945,0.933,200,FALSE
"C2",2,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.03782,0.01157,0.01761,0.85,0.01331,0.01226,0.922,200,FALSE
"C3",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-5e-04,0.00599,0.96,0.00598,0.00654,1.093,200,TRUE
"C3",0,0,"linear","ATT","DR one-step ATT",0.02,-0.00034,0.00536,0.96,0.00536,0.0058,1.083,200,TRUE
"C3",0,0,"linear","ATO","augmented overlap weights",0.02,-0.00025,0.00509,0.975,0.0051,0.00548,1.075,200,TRUE
"C3",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,-0.00036,0.00565,0.975,0.00565,0.00618,1.094,200,TRUE
"C3",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,-0.00067,0.0056,0.99,0.00558,0.00622,1.116,200,TRUE
"C3",1,0,"linear","ATE","TMLE (GLM nuisances)",0.02,0.00166,0.00592,0.95,0.00569,0.00589,1.034,200,TRUE
"C3",1,0,"linear","ATT","DR one-step ATT",0.02,0.00255,0.00785,0.94,0.00744,0.00826,1.11,200,TRUE
"C3",1,0,"linear","ATO","augmented overlap weights",0.02,0.00166,0.00569,0.96,0.00546,0.00578,1.059,200,TRUE
"C3",1,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.0014,0.0058,0.96,0.00564,0.00573,1.015,200,TRUE
"C3",1,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.00161,0.00673,0.97,0.00655,0.00679,1.037,200,TRUE
"C3",2,0,"linear","ATE","TMLE (GLM nuisances)",0.01989,0.00252,0.00622,0.925,0.00571,0.00542,0.949,200,TRUE
"C3",2,0,"linear","ATT","DR one-step ATT",0.01997,0.00495,0.01037,0.895,0.00913,0.00866,0.948,200,FALSE
"C3",2,0,"linear","ATO","augmented overlap weights",0.01996,0.00318,0.00668,0.905,0.00589,0.00556,0.944,200,TRUE
"C3",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.01992,0.00253,0.00615,0.905,0.00562,0.00533,0.949,200,TRUE
"C3",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01997,0.00374,0.00762,0.91,0.00665,0.00666,1.001,200,TRUE
"C3",0,1,"linear","ATE","TMLE (GLM nuisances)",0.02001,0.00084,0.00607,0.925,0.00602,0.00572,0.95,200,TRUE
"C3",0,1,"linear","ATT","DR one-step ATT",0.03282,0.00013,0.00669,0.935,0.00671,0.0062,0.924,200,TRUE
"C3",0,1,"linear","ATO","augmented overlap weights",0.02716,0.00038,0.00597,0.925,0.00598,0.0056,0.937,200,TRUE
"C3",0,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.0215,0.00101,0.00628,0.925,0.00622,0.00573,0.921,200,TRUE
"C3",0,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.02978,-7e-05,0.00682,0.93,0.00684,0.00653,0.954,200,TRUE
"C3",1,1,"linear","ATE","TMLE (GLM nuisances)",0.02111,0.00269,0.00581,0.925,0.00516,0.00511,0.99,200,TRUE
"C3",1,1,"linear","ATT","DR one-step ATT",0.03303,0.00312,0.00896,0.915,0.00842,0.00845,1.002,200,TRUE
"C3",1,1,"linear","ATO","augmented overlap weights",0.02746,0.0024,0.00643,0.935,0.00597,0.00595,0.996,200,TRUE
"C3",1,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02197,0.00301,0.00609,0.92,0.00531,0.0053,0.999,200,TRUE
"C3",1,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.02998,0.00198,0.00738,0.95,0.00713,0.00717,1.005,200,TRUE
"C3",2,1,"linear","ATE","TMLE (GLM nuisances)",0.02155,0.00314,0.00583,0.9,0.00492,0.00468,0.95,200,TRUE
"C3",2,1,"linear","ATT","DR one-step ATT",0.03302,0.00485,0.01041,0.905,0.00923,0.00879,0.952,200,TRUE
"C3",2,1,"linear","ATO","augmented overlap weights",0.02764,0.00335,0.00681,0.905,0.00594,0.00566,0.952,200,TRUE
"C3",2,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02238,0.00342,0.00605,0.9,0.00501,0.00486,0.97,200,TRUE
"C3",2,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.03008,0.00396,0.008,0.92,0.00696,0.00692,0.993,200,TRUE
"C4",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-0.00064,0.01456,0.865,0.01458,0.01141,0.783,200,FALSE
"C4",0,0,"linear","ATT","DR one-step ATT",0.02,-0.00094,0.01249,0.89,0.01249,0.01063,0.851,200,FALSE
"C4",0,0,"linear","ATO","augmented overlap weights",0.02,-0.00073,0.01091,0.895,0.01092,0.00938,0.859,200,FALSE
"C4",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,-0.00075,0.01234,0.88,0.01235,0.01024,0.829,200,FALSE
"C4",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,-0.00015,0.01123,0.95,0.01126,0.01105,0.981,200,TRUE
"C4",1,0,"linear","ATE","TMLE (GLM nuisances)",0.02,0.00134,0.01083,0.94,0.01078,0.01023,0.949,200,TRUE
"C4",1,0,"linear","ATT","DR one-step ATT",0.02,0.00344,0.01458,0.865,0.01421,0.01264,0.89,200,FALSE
"C4",1,0,"linear","ATO","augmented overlap weights",0.02,0.00231,0.01087,0.92,0.01065,0.00936,0.879,200,TRUE
"C4",1,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00245,0.0114,0.905,0.01116,0.00996,0.893,200,TRUE
"C4",1,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.00194,0.01124,0.96,0.0111,0.01105,0.995,200,TRUE
"C4",2,0,"linear","ATE","TMLE (GLM nuisances)",0.01991,0.00234,0.01078,0.935,0.01055,0.01018,0.965,200,TRUE
"C4",2,0,"linear","ATT","DR one-step ATT",0.01999,0.00498,0.01535,0.88,0.01456,0.01408,0.967,200,FALSE
"C4",2,0,"linear","ATO","augmented overlap weights",0.01997,0.00313,0.01035,0.925,0.0099,0.00891,0.901,200,TRUE
"C4",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.01995,0.00333,0.01124,0.93,0.01077,0.0101,0.939,200,TRUE
"C4",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01998,0.00335,0.01148,0.93,0.01101,0.0105,0.954,200,TRUE
"C4",0,1,"linear","ATE","TMLE (GLM nuisances)",0.02014,0.00268,0.01121,0.925,0.01092,0.00941,0.862,200,TRUE
"C4",0,1,"linear","ATT","DR one-step ATT",0.03,0.00171,0.01133,0.935,0.01123,0.01062,0.946,200,TRUE
"C4",0,1,"linear","ATO","augmented overlap weights",0.02387,0.00202,0.0101,0.95,0.00992,0.0094,0.948,200,TRUE
"C4",0,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02235,0.00271,0.01059,0.935,0.01026,0.00952,0.929,200,TRUE
"C4",0,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.02497,0.00053,0.01122,0.945,0.01124,0.0113,1.005,200,TRUE
"C4",1,1,"linear","ATE","TMLE (GLM nuisances)",0.02208,0.00249,0.01059,0.91,0.01031,0.00899,0.872,200,TRUE
"C4",1,1,"linear","ATT","DR one-step ATT",0.03024,0.0033,0.01464,0.92,0.0143,0.01279,0.895,200,TRUE
"C4",1,1,"linear","ATO","augmented overlap weights",0.02433,0.00221,0.01094,0.915,0.01074,0.00934,0.869,200,TRUE
"C4",1,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02316,0.00303,0.01136,0.915,0.01097,0.00953,0.868,200,TRUE
"C4",1,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.02528,0.00189,0.01209,0.94,0.01197,0.01132,0.946,200,TRUE
"C4",2,1,"linear","ATE","TMLE (GLM nuisances)",0.02249,0.0026,0.00981,0.905,0.00948,0.00907,0.957,200,TRUE
"C4",2,1,"linear","ATT","DR one-step ATT",0.03031,0.00364,0.01465,0.91,0.01423,0.01419,0.997,200,TRUE
"C4",2,1,"linear","ATO","augmented overlap weights",0.02453,0.00259,0.00979,0.9,0.00947,0.00889,0.939,200,TRUE
"C4",2,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02354,0.00321,0.01059,0.905,0.01012,0.00962,0.95,200,TRUE
"C4",2,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.02542,0.00213,0.01061,0.95,0.01042,0.01077,1.034,200,TRUE
"PRIMARY",0,0,"linear","ATE","TMLE (GLM nuisances)",0.02,-0.00028,0.01302,0.91,0.01305,0.01078,0.826,200,TRUE
"PRIMARY",0,0,"linear","ATT","DR one-step ATT",0.02,-0.00083,0.01348,0.905,0.01349,0.01168,0.866,200,TRUE
"PRIMARY",0,0,"linear","ATO","augmented overlap weights",0.02,-0.00024,0.01212,0.905,0.01215,0.01034,0.851,200,TRUE
"PRIMARY",0,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00478,0.07043,0.9,0.07045,0.01078,0.153,200,TRUE
"PRIMARY",0,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,-0.0015,0.01302,0.93,0.01297,0.01264,0.974,200,TRUE
"PRIMARY",1,0,"linear","ATE","TMLE (GLM nuisances)",0.02,0.00252,0.0128,0.9,0.01258,0.01106,0.879,200,TRUE
"PRIMARY",1,0,"linear","ATT","DR one-step ATT",0.02,0.00192,0.01647,0.875,0.0164,0.01381,0.842,200,FALSE
"PRIMARY",1,0,"linear","ATO","augmented overlap weights",0.02,0.00271,0.0117,0.895,0.01141,0.00991,0.869,200,FALSE
"PRIMARY",1,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.02,0.00278,0.01284,0.89,0.01256,0.01091,0.868,200,FALSE
"PRIMARY",1,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.02,0.00195,0.01247,0.945,0.01234,0.01204,0.976,200,TRUE
"PRIMARY",2,0,"linear","ATE","TMLE (GLM nuisances)",0.01991,0.00667,0.01292,0.865,0.0111,0.01073,0.967,200,FALSE
"PRIMARY",2,0,"linear","ATT","DR one-step ATT",0.01997,0.00802,0.01569,0.84,0.01352,0.01371,1.014,200,FALSE
"PRIMARY",2,0,"linear","ATO","augmented overlap weights",0.01993,0.00558,0.0111,0.89,0.00962,0.00901,0.936,200,FALSE
"PRIMARY",2,0,"linear","trimmed_ATE","TMLE after trim + g refit",0.01991,0.00642,0.01251,0.855,0.01077,0.01051,0.976,200,FALSE
"PRIMARY",2,0,"linear","matched_ATT","1:1 caliper match, paired difference",0.01994,0.00468,0.01184,0.955,0.0109,0.0112,1.028,200,TRUE
"PRIMARY",0,1,"linear","ATE","TMLE (GLM nuisances)",0.02028,0.00191,0.0116,0.895,0.01147,0.01037,0.904,200,FALSE
"PRIMARY",0,1,"linear","ATT","DR one-step ATT",0.026,0.00085,0.01278,0.915,0.01279,0.01169,0.914,200,TRUE
"PRIMARY",0,1,"linear","ATO","augmented overlap weights",0.0193,0.00141,0.01105,0.925,0.01099,0.01011,0.92,200,TRUE
"PRIMARY",0,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02025,0.00168,0.01165,0.89,0.01156,0.01041,0.9,200,FALSE
"PRIMARY",0,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.01987,-5e-04,0.01239,0.955,0.01241,0.01267,1.021,200,TRUE
"PRIMARY",1,1,"linear","ATE","TMLE (GLM nuisances)",0.02234,0.00365,0.01231,0.87,0.01179,0.01051,0.891,200,FALSE
"PRIMARY",1,1,"linear","ATT","DR one-step ATT",0.0266,0.00326,0.01444,0.87,0.01411,0.01313,0.931,200,FALSE
"PRIMARY",1,1,"linear","ATO","augmented overlap weights",0.02075,0.00361,0.01139,0.875,0.01082,0.00954,0.882,200,FALSE
"PRIMARY",1,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02231,0.00368,0.01222,0.875,0.01168,0.01048,0.897,200,FALSE
"PRIMARY",1,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.02116,0.00272,0.0127,0.945,0.01244,0.01199,0.964,200,TRUE
"PRIMARY",2,1,"linear","ATE","TMLE (GLM nuisances)",0.02258,0.00552,0.01339,0.81,0.01223,0.01107,0.905,200,FALSE
"PRIMARY",2,1,"linear","ATT","DR one-step ATT",0.02667,0.00663,0.0172,0.835,0.01591,0.01451,0.912,200,FALSE
"PRIMARY",2,1,"linear","ATO","augmented overlap weights",0.02101,0.00455,0.01108,0.845,0.01013,0.00899,0.888,200,FALSE
"PRIMARY",2,1,"linear","trimmed_ATE","TMLE after trim + g refit",0.02255,0.00534,0.01322,0.83,0.01212,0.01065,0.878,200,FALSE
"PRIMARY",2,1,"linear","matched_ATT","1:1 caliper match, paired difference",0.0213,0.00355,0.01171,0.96,0.01118,0.01137,1.017,200,TRUE
