"document","location","value","source_file","source_field","script","commit","kind","note"
"manuscript","line 3128","0.066","rescueCo/results/multiarm/designcmp_C1.rds","x$rmse[x$confounding == 2 & x$modification == 0 & x$design ==      ""sample_treatment"" & x$estimand == ""ATE""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3128","0.012","rescueCo/results/multiarm/designcmp_C1.rds","x$rmse[x$confounding == 2 & x$modification == 0 & x$design ==      ""generate_treatment"" & x$estimand == ""ATE""]","rescueCo/scripts/12_multiarm_support_sim.R","863efc3","verified_claim",""
"manuscript","line 3229","1.82","rescueCo/results/_dq_degradation_50rep_backup.csv","max(df$rmse_ratio[df$candidate == ""glm_t01""])","rescueCo/scripts/rescueco_dq_full.R","863efc3","verified_claim","F6: only the 50-rep backup reproduces this"
"manuscript","line 3230","1.73","rescueCo/results/_dq_degradation_50rep_backup.csv","max(df$rmse_ratio[df$candidate == ""glmnet_t01""])","rescueCo/scripts/rescueco_dq_full.R","863efc3","verified_claim","F6"
"manuscript","line 3230","1.53","rescueCo/results/_dq_degradation_50rep_backup.csv","max(df$rmse_ratio[df$candidate == ""ensemble_t01""])","rescueCo/scripts/rescueco_dq_full.R","863efc3","verified_claim","F6"
"manuscript","line 3230","1.27","rescueCo/results/_dq_degradation_50rep_backup.csv","max(df$rmse_ratio[df$candidate == ""ensemble_t05""])","rescueCo/scripts/rescueco_dq_full.R","863efc3","verified_claim","F6"
"manuscript","line 3305","-2.9","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$estimate[df$contrast == ""C4"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3305","-4.9","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$ci_lower[df$contrast == ""C4"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3306","-0.9","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$ci_upper[df$contrast == ""C4"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3307","-2.8","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$estimate[df$contrast == ""PRIMARY"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATT""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3307","-1.7","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$estimate[df$contrast == ""PRIMARY"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3311","+1.8","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$estimate[df$contrast == ""C3"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3311","0.8","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$ci_lower[df$contrast == ""C3"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3311","2.8","rescueCo/results/multiarm/ladder_estimates.csv","100 * df$ci_upper[df$contrast == ""C3"" & df$outcome == ""death_by_6mo"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3318","-245","rescueCo/results/multiarm/ladder_estimates.csv","df$estimate[df$contrast == ""C3"" & df$outcome == ""time_to_arrival_minutes"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3319","-320","rescueCo/results/multiarm/ladder_estimates.csv","df$ci_lower[df$contrast == ""C3"" & df$outcome == ""time_to_arrival_minutes"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3319","-169","rescueCo/results/multiarm/ladder_estimates.csv","df$ci_upper[df$contrast == ""C3"" & df$outcome == ""time_to_arrival_minutes"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3320","-0.1","rescueCo/results/multiarm/ladder_estimates.csv","df$estimate[df$contrast == ""PRIMARY"" & df$outcome == ""time_to_arrival_minutes"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3321","-32","rescueCo/results/multiarm/ladder_estimates.csv","df$ci_lower[df$contrast == ""PRIMARY"" & df$outcome == ""time_to_arrival_minutes"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"manuscript","line 3321","31","rescueCo/results/multiarm/ladder_estimates.csv","df$ci_upper[df$contrast == ""PRIMARY"" & df$outcome == ""time_to_arrival_minutes"" &      df$estimand == ""ATE""]","rescueCo/scripts/13_multiarm_estimation.R","863efc3","verified_claim",""
"presentation","line 239","8,323","rescueCo/results/multiarm/lock_summary.csv","df$n[df$contrast == ""C1""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 239","1,039","rescueCo/results/multiarm/lock_summary.csv","df$n_treated[df$contrast == ""C1""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 240","7,165","rescueCo/results/multiarm/lock_summary.csv","df$n[df$contrast == ""C2""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 241","2,197","rescueCo/results/multiarm/lock_summary.csv","df$n_treated[df$contrast == ""C3""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 242","2,197","rescueCo/results/multiarm/lock_summary.csv","df$n[df$contrast == ""C4""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 243","1,616","rescueCo/results/multiarm/lock_summary.csv","df$n[df$contrast == ""PRIMARY""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 243","1,003","rescueCo/results/multiarm/lock_summary.csv","df$n_treated[df$contrast == ""PRIMARY""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 284","257","rescueCo/results/multiarm/estimand_feasibility.csv","df$max_weight[df$contrast == ""C1"" & df$estimand == ""ATE""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 285","20","rescueCo/results/multiarm/estimand_feasibility.csv","df$max_weight[df$contrast == ""C1"" & grepl(""^trimmed_ATE"", df$estimand)][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 286","5.0","rescueCo/results/multiarm/estimand_feasibility.csv","df$max_weight[df$contrast == ""C1"" & df$estimand == ""ATT""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 287","1.0","rescueCo/results/multiarm/estimand_feasibility.csv","df$max_weight[df$contrast == ""C1"" & df$estimand == ""ATO""]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 235","8,323","rescueCo/results/multiarm/lock_summary.csv","df$n[df$contrast == ""C1""]","rescueCo/scripts/10_multiarm_build.R","863efc3","verified_claim",""
"presentation","line 274","1,386","rescueCo/results/multiarm/violation_regions.csv","df$n[df$contrast == ""C1""][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 274","1.4","rescueCo/results/multiarm/violation_regions.csv","100 * df$p_treated[df$contrast == ""C1""][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 275","1,438","rescueCo/results/multiarm/violation_regions.csv","df$n[df$contrast == ""C1"" & df$n == 1438]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 275","2.5","rescueCo/results/multiarm/violation_regions.csv","100 * df$p_treated[df$contrast == ""C1"" & df$n == 1438]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 276","1,062","rescueCo/results/multiarm/violation_regions.csv","df$n[df$contrast == ""C1"" & df$n == 1062]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 276","4.2","rescueCo/results/multiarm/violation_regions.csv","100 * df$p_treated[df$contrast == ""C1"" & df$n == 1062]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"presentation","line 278","3,377","rescueCo/results/multiarm/who_is_unsupported.csv","df$n_removed[df$contrast == ""C1"" & df$population == ""all""][1]","rescueCo/scripts/11_multiarm_design.R","863efc3","verified_claim",""
"manuscript","line 51","(computed at render)","bootstrap_variance.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 105","(computed at render)","simulation_results.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 1782","(computed at render)","lock.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2028","(computed at render)","simulation_results.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2415","(computed at render)","dq_stress_(.+)\\.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2560","(computed at render)","results_new/plasmode_%s.csv","(chunk reads this file)","run_simulation.R","863efc3","computed_chunk",""
"manuscript","line 2623","(computed at render)","candidate_divergence_full.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2627","(computed at render)","selection_table.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2821","(computed at render)","results_new/gate_oc.rds","(chunk reads this file)","run_gate_operating_characteristics.R","863efc3","computed_chunk",""
"manuscript","line 2838","(computed at render)","results_new/gate_oc.rds","(chunk reads this file)","run_gate_operating_characteristics.R","863efc3","computed_chunk",""
"manuscript","line 2965","(computed at render)","lock_summary.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2966","(computed at render)","support_by_contrast.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2967","(computed at render)","estimand_feasibility.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2968","(computed at render)","nc_ladder.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2969","(computed at render)","collider_check.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 2970","(computed at render)","who_is_unsupported.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 3115","(computed at render)","designcmp_C1.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 3278","(computed at render)","ladder_estimates.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"manuscript","line 3406","(computed at render)","rescueCo/results/plasmode_fidelity.csv","(chunk reads this file)","sandbox/rescueco_fidelity/plasmode_fidelity.R","863efc3","computed_chunk",""
"manuscript","line 3936","(computed at render)","sandbox/validation/validation_vs_tmle.csv","(chunk reads this file)","sandbox/validation/validate_vs_tmle.R","863efc3","computed_chunk",""
"presentation","line 30","(computed at render)","support_by_contrast.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"presentation","line 31","(computed at render)","nc_ladder.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"presentation","line 32","(computed at render)","ladder_estimates.csv","(chunk reads this file)","","863efc3","computed_chunk",""
"presentation","line 42","(computed at render)","designcmp_C1.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"presentation","line 43","(computed at render)","designcmp_PRIMARY.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"presentation","line 45","(computed at render)","multiarm_locks.rds","(chunk reads this file)","","863efc3","computed_chunk",""
"presentation","line 48","(computed at render)","design_lite_C1.rds","(chunk reads this file)","","863efc3","computed_chunk",""
