"scenario","replicate","time_point","method","estimate","se","ci_lower","ci_upper","truth","bias","covers","runtime"
"dep_censor",6,90,"TMLE-CF",0,0.0621621086279694,-0.12183773291082,0.12183773291082,0.00350639332382711,-0.00350639332382711,1,0.209999999999127
"dep_censor",6,90,"AIPW",0.000515727819485666,0.000280542322982998,-3.41351335610105e-05,0.00106559077253234,0.00350639332382711,-0.00299066550434145,0,0.0299999999988358
"dep_censor",6,90,"IPTW",0.00568116569081922,0.00318110703470324,-0.000553804097199128,0.0119161354788376,0.00350639332382711,0.00217477236699211,1,0.00999999999839929
"dep_censor",6,90,"G-computation",0.000545201920793794,7.55185008192452e-27,0.000545201920793794,0.000545201920793794,0.00350639332382711,-0.00296119140303332,0,6.15999999999985
"dep_censor",6,90,"Cox PH",0,NA,NA,NA,0.00350639332382711,-0.00350639332382711,NA,0.920000000001892
"dep_censor",6,180,"TMLE",0.00110314294780796,0.000602456133936612,-7.76710747078036e-05,0.00228395697032371,0.00455831132097525,-0.00345516837316729,0,0.0499999999992724
"dep_censor",6,180,"TMLE-CF",0.0547455884173443,0.112572579565042,-0.165896667530138,0.275387844364826,0.00455831132097525,0.050187277096369,1,0.220000000001164
"dep_censor",6,180,"AIPW",0.000753055390784019,0.000342623013432776,8.15142844557769e-05,0.00142459649711226,0.00455831132097525,-0.00380525593019123,0,0.0499999999992724
"dep_censor",6,180,"IPTW",0.00568116569081922,0.00318110703470324,-0.000553804097199128,0.0119161354788376,0.00455831132097525,0.00112285436984398,1,0.0199999999967986
"dep_censor",6,180,"G-computation",0.000545201920793794,2.17977186121491e-27,0.000545201920793794,0.000545201920793794,0.00455831132097525,-0.00401310940018145,0,4.57999999999811
"dep_censor",6,180,"Cox PH",0,NA,NA,NA,0.00455831132097525,-0.00455831132097525,NA,0.450000000000728
"dep_censor",7,90,"TMLE",0.0049996723836312,0.00325663505839329,-0.00138333233081965,0.011382677098082,0.00350639332382711,0.00149327905980409,1,0.159999999999854
"dep_censor",7,90,"TMLE-CF",0.0111112818183947,0.018441511404225,-0.0250340805338863,0.0472566441706758,0.00350639332382711,0.00760488849456762,1,0.220000000001164
"dep_censor",7,90,"AIPW",9.58884189930934e-05,0.000259469282798176,-0.000412671375291331,0.000604448213277518,0.00350639332382711,-0.00341050490483402,0,0.0299999999988358
"dep_censor",7,90,"IPTW",0.0155121122575218,0.00280656426700998,0.0100112462941822,0.0210129782208614,0.00350639332382711,0.0120057189336947,0,0.0200000000004366
"dep_censor",7,90,"G-computation",0.000233629606055392,2.30757751933578e-26,0.000233629606055392,0.000233629606055392,0.00350639332382711,-0.00327276371777172,0,6.23999999999796
"dep_censor",7,90,"Cox PH",0,NA,NA,NA,0.00350639332382711,-0.00350639332382711,NA,0.69999999999709
"dep_censor",7,180,"TMLE",0.00730483600848545,0.00399849701887752,-0.000532218148514495,0.0151418901654854,0.00455831132097525,0.00274652468751021,1,0.0600000000013097
"dep_censor",7,180,"TMLE-CF",0.0134317661701013,0.0697333631458361,-0.123245625595737,0.15010915793594,0.00455831132097525,0.00887345484912608,1,0.220000000001164
"dep_censor",7,180,"AIPW",7.62088123577162e-05,0.000299028284412351,-0.000509886625090492,0.000662304249805924,0.00455831132097525,-0.00448210250861753,0,0.069999999999709
"dep_censor",7,180,"IPTW",0.0291531149263147,0.00314100818411852,0.0229967388854424,0.035309490967187,0.00455831132097525,0.0245948036053394,0,0
"dep_censor",7,180,"G-computation",1.95601493440598e-05,6.96550249933643e-27,1.95601493440598e-05,1.95601493440598e-05,0.00455831132097525,-0.00453875117163119,0,6.61000000000058
"dep_censor",7,180,"Cox PH",0,NA,NA,NA,0.00455831132097525,-0.00455831132097525,NA,0.80000000000291
"dep_censor",8,90,"TMLE",0.0536769197632959,0.0109268636668998,0.0322602669761724,0.0750935725504194,0.00350639332382711,0.0501705264394688,0,0.0799999999981083
"dep_censor",8,90,"TMLE-CF",0.039000408553601,0.0785995794941507,-0.115054767254934,0.193055584362136,0.00350639332382711,0.0354940152297739,1,0.279999999998836
"dep_censor",8,90,"AIPW",0.0541607584170989,0.0110055222128268,0.0325899348799583,0.0757315819542394,0.00350639332382711,0.0506543650932717,0,0.0400000000008731
"dep_censor",8,90,"IPTW",0.0104182690699663,0.00497055765106644,0.000675976073876126,0.0201605620660566,0.00350639332382711,0.00691187574613924,1,0.0100000000020373
"dep_censor",8,90,"G-computation",0.0542260920171583,5.85476216711275e-27,0.0542260920171583,0.0542260920171583,0.00350639332382711,0.0507196986933311,0,5.46999999999753
